SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
196,2.048,4,10,protocol,7.5,320,390,1.21875,100,90,0.9,0.803571,0.464286,0.304688,0.24375,0.180723,0.150231,0.150231,0.150231,0.150231,0.467967
197,2.048,4,10,protocol,7.5,320,398,1.24375,100,89,0.89,0.832143,0.47381,0.310937,0.24875,0.185981,0.154264,0.154264,0.154264,0.154264,0.467559
198,2.048,4,10,protocol,7.5,320,369,1.15312,100,87,0.87,0.785714,0.439286,0.288281,0.230625,0.17243,0.143692,0.143692,0.143692,0.143692,0.467257
199,2.048,4,10,protocol,7.5,320,393,1.22812,100,88,0.88,0.807143,0.467857,0.307031,0.245625,0.183645,0.153516,0.153516,0.153516,0.153516,0.466925
200,2.048,4,10,protocol,7.5,320,371,1.15938,100,90,0.9,0.807143,0.441667,0.289844,0.231875,0.175,0.144922,0.144922,0.144922,0.144922,0.466574
201,2.048,4,10,protocol,7.5,320,399,1.24687,100,90,0.9,0.825,0.475,0.311719,0.249375,0.188208,0.155859,0.155859,0.155859,0.155859,0.466269
202,2.048,4,10,protocol,7.5,320,390,1.21875,100,88,0.88,0.814286,0.464286,0.304688,0.24375,0.182755,0.152344,0.152344,0.152344,0.152344,0.466038
203,2.048,4,10,protocol,7.5,320,392,1.225,100,88,0.88,0.817857,0.466667,0.30625,0.245,0.183178,0.153125,0.153125,0.153125,0.153125,0.465816
204,2.048,4,10,protocol,7.5,320,396,1.2375,100,87,0.87,0.835714,0.471429,0.309375,0.2475,0.185047,0.154688,0.154688,0.154688,0.154688,0.465486
205,2.048,4,10,protocol,7.5,320,501,1.56563,100,86,0.86,0.792857,0.596429,0.391406,0.313125,0.234112,0.195703,0.195703,0.195703,0.195703,0.466412
206,2.048,4,10,protocol,7.5,320,301,0.940625,100,60,0.6,0.678571,0.358333,0.235156,0.188125,0.140654,0.117578,0.117578,0.117578,0.117578,0.466543
207,2.048,4,10,protocol,7.5,320,320,1,100,59,0.59,0.710714,0.380952,0.25,0.2,0.149533,0.125,0.125,0.125,0.125,0.466623
208,2.048,4,10,protocol,7.5,320,322,1.00625,100,60,0.6,0.703571,0.383333,0.251563,0.20125,0.150467,0.125781,0.125781,0.125781,0.125781,0.46678
209,2.048,4,10,protocol,7.5,320,296,0.925,100,60,0.6,0.657143,0.352381,0.23125,0.185,0.138318,0.115625,0.115625,0.115625,0.115625,0.466833
210,2.048,4,10,protocol,7.5,320,309,0.965625,100,59,0.59,0.7,0.367857,0.241406,0.193125,0.144393,0.120703,0.120703,0.120703,0.120703,0.466904
211,2.048,4,10,protocol,7.5,320,295,0.921875,100,60,0.6,0.667857,0.35119,0.230469,0.184375,0.13785,0.115234,0.115234,0.115234,0.115234,0.466991
212,2.048,4,10,protocol,7.5,320,332,1.0375,100,59,0.59,0.717857,0.395238,0.259375,0.2075,0.15514,0.129688,0.129688,0.129688,0.129688,0.467064
213,2.048,4,10,protocol,7.5,320,304,0.95,100,60,0.6,0.685714,0.361905,0.2375,0.19,0.142056,0.11875,0.11875,0.11875,0.11875,0.467324
214,2.048,4,10,protocol,7.5,320,332,1.0375,100,60,0.6,0.710714,0.395238,0.259375,0.2075,0.15514,0.129688,0.129688,0.129688,0.129688,0.467424
215,2.048,4,10,protocol,7.5,320,321,1.00313,100,60,0.6,0.7,0.382143,0.250781,0.200625,0.15,0.125391,0.125391,0.125391,0.125391,0.4675
216,2.048,4,10,protocol,7.5,320,310,0.96875,100,60,0.6,0.671429,0.369048,0.242188,0.19375,0.14486,0.121094,0.121094,0.121094,0.121094,0.467546
217,2.048,4,10,protocol,7.5,320,305,0.953125,100,60,0.6,0.689286,0.363095,0.238281,0.190625,0.142523,0.119141,0.119141,0.119141,0.119141,0.467648
218,2.048,4,10,protocol,7.5,320,329,1.02812,100,59,0.59,0.703571,0.391667,0.257031,0.205625,0.153738,0.128516,0.128516,0.128516,0.128516,0.467722
219,2.048,4,10,protocol,7.5,320,317,0.990625,100,60,0.6,0.696429,0.377381,0.247656,0.198125,0.148131,0.123828,0.123828,0.123828,0.123828,0.467803
220,2.048,4,10,protocol,7.5,320,329,1.02812,100,60,0.6,0.717857,0.391667,0.257031,0.205625,0.153738,0.128516,0.128516,0.128516,0.128516,0.467857
221,2.048,4,10,protocol,7.5,320,328,1.025,100,60,0.6,0.714286,0.390476,0.25625,0.205,0.153271,0.128125,0.128125,0.128125,0.128125,0.467905
222,2.048,4,10,protocol,7.5,320,329,1.02812,100,59,0.59,0.721429,0.391667,0.257031,0.205625,0.153738,0.128516,0.128516,0.128516,0.128516,0.467964
223,2.048,4,10,protocol,7.5,320,311,0.971875,100,60,0.6,0.678571,0.370238,0.242969,0.194375,0.145327,0.121484,0.121484,0.121484,0.121484,0.468148
224,2.048,4,10,protocol,7.5,320,337,1.05313,100,72,0.72,0.742857,0.40119,0.263281,0.210625,0.157477,0.131641,0.131641,0.131641,0.131641,0.468268
225,2.048,4,10,protocol,7.5,320,358,1.11875,100,80,0.8,0.767857,0.42619,0.279687,0.22375,0.16729,0.139844,0.139844,0.139844,0.139844,0.468206
226,2.048,4,10,protocol,7.5,320,351,1.09688,100,79,0.79,0.767857,0.417857,0.274219,0.219375,0.164019,0.137109,0.137109,0.137109,0.137109,0.468125
227,2.048,4,10,protocol,7.5,320,327,1.02188,100,80,0.8,0.714286,0.389286,0.255469,0.204375,0.152804,0.127734,0.127734,0.127734,0.127734,0.468139
228,2.048,4,10,protocol,7.5,320,364,1.1375,100,80,0.8,0.767857,0.433333,0.284375,0.2275,0.170093,0.142187,0.142187,0.142187,0.142187,0.468097
229,2.048,4,10,protocol,7.5,320,366,1.14375,100,79,0.79,0.789286,0.435714,0.285938,0.22875,0.171028,0.142969,0.142969,0.142969,0.142969,0.467987
230,2.048,4,10,protocol,7.5,320,340,1.0625,100,80,0.8,0.75,0.404762,0.265625,0.2125,0.158879,0.132812,0.132812,0.132812,0.132812,0.467944
231,2.048,4,10,protocol,7.5,320,336,1.05,100,80,0.8,0.753571,0.4,0.2625,0.21,0.157009,0.13125,0.13125,0.13125,0.13125,0.467882
232,2.048,4,10,protocol,7.5,320,357,1.11563,100,79,0.79,0.792857,0.425,0.278906,0.223125,0.166822,0.139453,0.139453,0.139453,0.139453,0.467773
233,2.048,4,10,protocol,7.5,320,348,1.0875,100,78,0.78,0.760714,0.414286,0.271875,0.2175,0.162617,0.135937,0.135937,0.135937,0.135937,0.467741
234,2.048,4,10,protocol,7.5,320,338,1.05625,100,80,0.8,0.757143,0.402381,0.264062,0.21125,0.157944,0.132031,0.132031,0.132031,0.132031,0.467738
235,2.048,4,10,protocol,7.5,320,340,1.0625,100,79,0.79,0.732143,0.404762,0.265625,0.2125,0.158879,0.132812,0.132812,0.132812,0.132812,0.467712
236,2.048,4,10,protocol,7.5,320,361,1.12813,100,80,0.8,0.757143,0.429762,0.282031,0.225625,0.168692,0.141016,0.141016,0.141016,0.141016,0.46767
237,2.048,4,10,protocol,7.5,320,348,1.0875,100,80,0.8,0.753571,0.414286,0.271875,0.2175,0.162617,0.135937,0.135937,0.135937,0.135937,0.467565
238,2.048,4,10,protocol,7.5,320,346,1.08125,100,80,0.8,0.757143,0.411905,0.270313,0.21625,0.161682,0.135156,0.135156,0.135156,0.135156,0.467524
239,2.048,4,10,protocol,7.5,320,346,1.08125,100,79,0.79,0.767857,0.411905,0.270313,0.21625,0.161682,0.135156,0.135156,0.135156,0.135156,0.46743
240,2.048,4,10,protocol,7.5,320,353,1.10312,100,80,0.8,0.785714,0.420238,0.275781,0.220625,0.164953,0.137891,0.137891,0.137891,0.137891,0.467327
241,2.048,4,10,protocol,7.5,320,344,1.075,100,80,0.8,0.753571,0.409524,0.26875,0.215,0.160748,0.134375,0.134375,0.134375,0.134375,0.467308
242,2.048,4,10,protocol,7.5,320,350,1.09375,100,80,0.8,0.764286,0.416667,0.273438,0.21875,0.163551,0.136719,0.136719,0.136719,0.136719,0.467253
243,2.048,4,10,protocol,7.5,320,354,1.10625,100,80,0.8,0.771429,0.421429,0.276562,0.22125,0.165421,0.138281,0.138281,0.138281,0.138281,0.467221
244,2.048,4,10,protocol,7.5,320,375,1.17188,100,80,0.8,0.814286,0.446429,0.292969,0.234375,0.175234,0.146484,0.146484,0.146484,0.146484,0.467252
245,2.048,4,10,protocol,7.5,320,365,1.14062,100,80,0.8,0.771429,0.434524,0.285156,0.228125,0.170561,0.142578,0.142578,0.142578,0.142578,0.46719
246,2.048,4,10,protocol,7.5,320,343,1.07187,100,80,0.8,0.75,0.408333,0.267969,0.214375,0.16028,0.133984,0.133984,0.133984,0.133984,0.467156
247,2.048,4,10,protocol,7.5,320,331,1.03438,100,80,0.8,0.753571,0.394048,0.258594,0.206875,0.154673,0.129297,0.129297,0.129297,0.129297,0.467099
248,2.048,4,10,protocol,7.5,320,316,0.9875,100,75,0.75,0.689286,0.37619,0.246875,0.1975,0.147664,0.123438,0.123438,0.123438,0.123438,0.467031
249,2.048,4,10,protocol,7.5,320,349,1.09062,100,80,0.8,0.771429,0.415476,0.272656,0.218125,0.163084,0.136328,0.136328,0.136328,0.136328,0.466999
250,2.048,4,10,protocol,7.5,320,354,1.10625,100,79,0.79,0.75,0.421429,0.276562,0.22125,0.165421,0.138281,0.138281,0.138281,0.138281,0.466899
251,2.048,4,10,protocol,7.5,320,322,1.00625,100,80,0.8,0.7,0.383333,0.251563,0.20125,0.150467,0.125781,0.125781,0.125781,0.125781,0.46678
252,2.048,4,10,protocol,7.5,320,348,1.0875,100,79,0.79,0.764286,0.414286,0.271875,0.2175,0.162617,0.135937,0.135937,0.135937,0.135937,0.466686
253,2.048,4,10,protocol,7.5,320,351,1.09688,100,80,0.8,0.75,0.417857,0.274219,0.219375,0.164019,0.137109,0.137109,0.137109,0.137109,0.466642
254,2.048,4,10,protocol,7.5,320,366,1.14375,100,80,0.8,0.792857,0.435714,0.285938,0.22875,0.171028,0.142969,0.142969,0.142969,0.142969,0.466613
255,2.048,4,10,protocol,7.5,320,333,1.04062,100,80,0.8,0.725,0.396429,0.260156,0.208125,0.155607,0.130078,0.130078,0.130078,0.130078,0.466619
256,2.048,4,10,protocol,7.5,320,331,1.03438,100,80,0.8,0.746429,0.394048,0.258594,0.206875,0.154673,0.129297,0.129297,0.129297,0.129297,0.466581
257,2.048,4,10,protocol,7.5,320,341,1.06563,100,79,0.79,0.757143,0.405952,0.266406,0.213125,0.159346,0.133203,0.133203,0.133203,0.133203,0.466509
258,2.048,4,10,protocol,7.5,320,342,1.06875,100,80,0.8,0.742857,0.407143,0.267188,0.21375,0.159813,0.133594,0.133594,0.133594,0.133594,0.466474
259,2.048,4,10,protocol,7.5,320,357,1.11563,100,80,0.8,0.771429,0.425,0.278906,0.223125,0.166822,0.139453,0.139453,0.139453,0.139453,0.466462
260,2.048,4,10,protocol,7.5,320,364,1.1375,100,80,0.8,0.785714,0.433333,0.284375,0.2275,0.170093,0.142187,0.142187,0.142187,0.142187,0.466417
261,2.048,4,10,protocol,7.5,320,338,1.05625,100,80,0.8,0.732143,0.402381,0.264062,0.21125,0.157944,0.132031,0.132031,0.132031,0.132031,0.466338
262,2.048,4,10,protocol,7.5,320,360,1.125,100,80,0.8,0.764286,0.428571,0.28125,0.225,0.168224,0.140625,0.140625,0.140625,0.140625,0.466292
263,2.048,4,10,protocol,7.5,320,352,1.1,100,80,0.8,0.757143,0.419048,0.275,0.22,0.164486,0.1375,0.1375,0.1375,0.1375,0.466247
264,2.048,4,10,protocol,7.5,320,353,1.10312,100,78,0.78,0.764286,0.420238,0.275781,0.220625,0.164953,0.137891,0.137891,0.137891,0.137891,0.46621
265,2.048,4,10,protocol,7.5,320,337,1.05313,100,78,0.78,0.753571,0.40119,0.263281,0.210625,0.157477,0.131641,0.131641,0.131641,0.131641,0.466239
266,2.048,4,10,protocol,7.5,320,353,1.10312,100,79,0.79,0.771429,0.420238,0.275781,0.220625,0.164953,0.137891,0.137891,0.137891,0.137891,0.46621
267,2.048,4,10,protocol,7.5,320,361,1.12813,100,78,0.78,0.778571,0.429762,0.282031,0.225625,0.168692,0.141016,0.141016,0.141016,0.141016,0.466163
268,2.048,4,10,protocol,7.5,320,353,1.10312,100,78,0.78,0.764286,0.420238,0.275781,0.220625,0.164953,0.137891,0.137891,0.137891,0.137891,0.466094
269,2.048,4,10,protocol,7.5,320,372,1.1625,100,80,0.8,0.785714,0.442857,0.290625,0.2325,0.173832,0.145313,0.145313,0.145313,0.145313,0.466038
270,2.048,4,10,protocol,7.5,320,357,1.11563,100,80,0.8,0.764286,0.425,0.278906,0.223125,0.166822,0.139453,0.139453,0.139453,0.139453,0.465998
271,2.048,4,10,protocol,7.5,320,347,1.08438,100,80,0.8,0.742857,0.413095,0.271094,0.216875,0.16215,0.135547,0.135547,0.135547,0.135547,0.465971
272,2.048,4,10,protocol,7.5,320,359,1.12187,100,80,0.8,0.778571,0.427381,0.280469,0.224375,0.167757,0.140234,0.140234,0.140234,0.140234,0.465932
273,2.048,4,10,protocol,7.5,320,341,1.06563,100,79,0.79,0.746429,0.405952,0.266406,0.213125,0.159346,0.133203,0.133203,0.133203,0.133203,0.465869
274,2.048,4,10,protocol,7.5,320,353,1.10312,100,80,0.8,0.767857,0.420238,0.275781,0.220625,0.164953,0.137891,0.137891,0.137891,0.137891,0.465786
275,2.048,4,10,protocol,7.5,320,343,1.07187,100,79,0.79,0.753571,0.408333,0.267969,0.214375,0.16028,0.133984,0.133984,0.133984,0.133984,0.465727
276,2.048,4,10,protocol,7.5,320,342,1.06875,100,80,0.8,0.753571,0.407143,0.267188,0.21375,0.159813,0.133594,0.133594,0.133594,0.133594,0.465767
277,2.048,4,10,protocol,7.5,320,364,1.1375,100,78,0.78,0.785714,0.433333,0.284375,0.2275,0.170093,0.142187,0.142187,0.142187,0.142187,0.465758
278,2.048,4,10,protocol,7.5,320,344,1.075,100,80,0.8,0.757143,0.409524,0.26875,0.215,0.160748,0.134375,0.134375,0.134375,0.134375,0.465728
