SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
140,0,0,10,protocol,7.5,320,220,0.6875,80,83,1,0.845455,0.846154,0.55,0.452675,0.355987,0.298103,0.298103,0.298103,0.298103,196.947
141,0,0,10,protocol,7.5,320,213,0.665625,80,79,0.9875,0.802885,0.819231,0.5325,0.44375,0.358586,0.299578,0.299578,0.299578,0.299578,194.43
142,0,0,10,protocol,7.5,320,217,0.678125,80,80,1,0.795918,0.834615,0.5425,0.452083,0.370307,0.302228,0.302228,0.302228,0.302228,191.959
143,0,0,10,protocol,7.5,320,205,0.640625,80,78,0.975,0.822222,0.788462,0.5125,0.430672,0.345118,0.287921,0.287921,0.287921,0.287921,189.524
144,0,0,10,protocol,7.5,320,180,0.5625,80,80,1,0.833333,0.692308,0.45,0.391304,0.310345,0.261628,0.261628,0.261628,0.261628,187.133
145,0,0,10,protocol,7.5,320,170,0.53125,68,68,1,0.833333,0.658915,0.431472,0.369565,0.290102,0.25,0.25,0.25,0.25,184.77
146,0,0,10,protocol,7.5,320,165,0.515625,60,59,0.983333,0.816667,0.723684,0.434211,0.358696,0.275,0.242647,0.242647,0.242647,0.242647,182.441
147,0,0,10,protocol,7.5,320,165,0.515625,52,51,0.980769,0.818182,0.75,0.434211,0.340909,0.275,0.242647,0.242647,0.242647,0.242647,180.138
148,0,0,10,protocol,7.5,320,161,0.503125,40,39,0.975,0.80625,0.731818,0.442308,0.322,0.268333,0.228693,0.228693,0.228693,0.228693,177.875
149,0,0,10,protocol,7.5,320,141,0.440625,40,40,1,0.7875,0.652778,0.391667,0.291322,0.235,0.199153,0.199153,0.199153,0.199153,175.656
150,0,0,10,protocol,7.5,320,148,0.4625,40,40,1,0.80625,0.813187,0.411111,0.318966,0.246667,0.211429,0.211429,0.211429,0.211429,173.46
151,0,0,10,protocol,7.5,320,140,0.4375,40,40,1,0.775,0.777778,0.380435,0.304348,0.233333,0.2,0.2,0.2,0.2,171.301
152,0,0,10,protocol,7.5,320,142,0.44375,40,39,0.975,0.775,0.788889,0.394444,0.308696,0.239057,0.202279,0.202279,0.202279,0.202279,169.178
153,0,0,10,protocol,7.5,320,146,0.45625,40,40,1,0.8,0.811111,0.405556,0.320175,0.240132,0.202778,0.202778,0.202778,0.202778,167.077
154,0,0,10,protocol,7.5,320,148,0.4625,40,40,1,0.8125,0.822222,0.395722,0.336364,0.23871,0.214493,0.214493,0.214493,0.214493,165.016
155,0,0,10,protocol,7.5,320,149,0.465625,40,40,1,0.80625,0.827778,0.392105,0.338636,0.241883,0.212857,0.212857,0.212857,0.212857,162.985
156,0,0,10,protocol,7.5,320,149,0.465625,40,40,1,0.8125,0.827778,0.392105,0.323913,0.242671,0.207521,0.207521,0.207521,0.207521,160.976
157,0,0,10,protocol,7.5,320,148,0.4625,40,40,1,0.80625,0.822222,0.389474,0.321739,0.231975,0.206704,0.206704,0.206704,0.206704,158.989
158,0,0,10,protocol,7.5,320,146,0.45625,40,40,1,0.7875,0.811111,0.384211,0.317391,0.227769,0.208571,0.208571,0.208571,0.208571,157.037
