SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
239,1212.42,2368,10,protocol,7.5,320,242,0.75625,60,59,0.983333,0.947368,0.812081,0.526087,0.417241,0.355882,0.310256,0.310256,0.310256,0.310256,15.4297
240,1218.56,2380,10,protocol,7.5,320,244,0.7625,60,59,0.983333,0.945833,0.871429,0.530435,0.42069,0.358824,0.312821,0.312821,0.312821,0.312821,15.2195
241,1220.61,2384,10,protocol,7.5,320,239,0.746875,60,59,0.983333,0.941667,0.853571,0.519565,0.412069,0.351471,0.30641,0.30641,0.30641,0.30641,15.0115
242,1208.32,2360,10,protocol,7.5,320,241,0.753125,60,58,0.966667,0.929167,0.860714,0.523913,0.415517,0.354412,0.308974,0.308974,0.308974,0.308974,14.8061
243,1207.3,2358,10,protocol,7.5,320,251,0.784375,60,60,1,0.983333,0.896429,0.545652,0.432759,0.369118,0.321795,0.321795,0.321795,0.321795,14.6027
244,1220.61,2384,10,protocol,7.5,320,249,0.778125,60,60,1,0.966667,0.889286,0.541304,0.42931,0.366176,0.319231,0.319231,0.319231,0.319231,14.4009
245,1207.81,2359,10,protocol,7.5,320,234,0.73125,60,57,0.95,0.925,0.835714,0.508696,0.403448,0.344118,0.3,0.3,0.3,0.3,14.2015
246,1218.56,2380,10,protocol,7.5,320,248,0.775,60,59,0.983333,0.9625,0.885714,0.53913,0.427586,0.364706,0.317949,0.317949,0.317949,0.317949,14.0036
247,1220.1,2383,10,protocol,7.5,320,243,0.759375,60,58,0.966667,0.954167,0.867857,0.528261,0.418966,0.357353,0.311538,0.311538,0.311538,0.311538,13.8075
248,1216,2375,10,protocol,7.5,320,246,0.76875,60,59,0.983333,0.95,0.878571,0.534783,0.424138,0.361765,0.315385,0.315385,0.315385,0.315385,13.6136
249,1210.37,2364,10,protocol,7.5,320,246,0.76875,60,59,0.983333,0.9625,0.878571,0.534783,0.424138,0.361765,0.315385,0.315385,0.315385,0.315385,13.4215
250,1208.83,2361,10,protocol,7.5,320,237,0.740625,60,57,0.95,0.933333,0.846429,0.515217,0.408621,0.348529,0.303846,0.303846,0.303846,0.303846,13.2312
251,1215.49,2374,10,protocol,7.5,320,244,0.7625,60,58,0.966667,0.945833,0.871429,0.530435,0.42069,0.358824,0.312821,0.312821,0.312821,0.312821,13.0426
252,1222.14,2387,10,protocol,7.5,320,255,0.796875,60,60,1,0.991667,0.910714,0.554348,0.439655,0.375,0.326923,0.326923,0.326923,0.326923,12.8558
253,1211.39,2366,10,protocol,7.5,320,252,0.7875,60,59,0.983333,0.983333,0.9,0.547826,0.434483,0.370588,0.323077,0.323077,0.323077,0.323077,12.671
254,1217.54,2378,10,protocol,7.5,320,250,0.78125,60,60,1,0.970833,0.892857,0.543478,0.431034,0.367647,0.320513,0.320513,0.320513,0.320513,12.4878
255,1210.37,2364,10,protocol,7.5,320,244,0.7625,60,59,0.983333,0.9625,0.871429,0.530435,0.42069,0.358824,0.312821,0.312821,0.312821,0.312821,12.3065
256,1205.76,2355,10,protocol,7.5,320,242,0.75625,60,59,0.983333,0.941667,0.864286,0.526087,0.417241,0.355882,0.310256,0.310256,0.310256,0.310256,12.127
257,1218.56,2380,10,protocol,7.5,320,247,0.771875,60,58,0.966667,0.958333,0.882143,0.536957,0.425862,0.363235,0.316667,0.316667,0.316667,0.316667,11.9487
