SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
206,1393.15,2721,10,protocol,7.5,320,309,0.965625,100,90,0.9,0.735714,0.367857,0.241406,0.193125,0.144393,0.120703,0.120703,0.120703,0.120703,37.7059
207,1394.69,2724,10,protocol,7.5,320,312,0.975,100,89,0.89,0.75,0.371429,0.24375,0.195,0.145794,0.121875,0.121875,0.121875,0.121875,37.0527
208,1391.1,2717,10,protocol,7.5,320,329,1.02812,100,88,0.88,0.746429,0.391667,0.257031,0.205625,0.153738,0.128516,0.128516,0.128516,0.128516,36.4118
209,1394.69,2724,10,protocol,7.5,320,325,1.01562,100,89,0.89,0.742857,0.386905,0.253906,0.203125,0.151869,0.126953,0.126953,0.126953,0.126953,35.7826
210,1372.67,2681,10,protocol,7.5,320,309,0.965625,100,87,0.87,0.728571,0.367857,0.241406,0.193125,0.144393,0.120703,0.120703,0.120703,0.120703,35.171
211,1395.71,2726,10,protocol,7.5,320,324,1.0125,100,90,0.9,0.757143,0.385714,0.253125,0.2025,0.151402,0.126562,0.126562,0.126562,0.126562,34.5698
212,1392.64,2720,10,protocol,7.5,320,320,1,100,90,0.9,0.767857,0.380952,0.25,0.2,0.149533,0.125,0.125,0.125,0.125,33.9834
213,1390.08,2715,10,protocol,7.5,320,310,0.96875,100,88,0.88,0.714286,0.369048,0.242188,0.19375,0.14486,0.121094,0.121094,0.121094,0.121094,33.407
214,1413.63,2761,10,protocol,7.5,320,336,1.05,100,88,0.88,0.75,0.4,0.2625,0.21,0.157009,0.13125,0.13125,0.13125,0.13125,32.8381
215,1390.08,2715,10,protocol,7.5,320,327,1.02188,100,89,0.89,0.732143,0.389286,0.255469,0.204375,0.152804,0.127734,0.127734,0.127734,0.127734,32.2855
216,1393.15,2721,10,protocol,7.5,320,331,1.03438,100,90,0.9,0.764286,0.394048,0.258594,0.206875,0.154673,0.129297,0.129297,0.129297,0.129297,31.7414
217,1391.62,2718,10,protocol,7.5,320,302,0.94375,100,89,0.89,0.714286,0.359524,0.235937,0.18875,0.141121,0.117969,0.117969,0.117969,0.117969,31.2096
218,1408.51,2751,10,protocol,7.5,320,320,1,100,88,0.88,0.728571,0.380952,0.25,0.2,0.149533,0.125,0.125,0.125,0.125,30.6843
219,1377.79,2691,10,protocol,7.5,320,326,1.01875,100,90,0.9,0.721429,0.388095,0.254688,0.20375,0.152336,0.127344,0.127344,0.127344,0.127344,30.1719
220,1393.66,2722,10,protocol,7.5,320,344,1.075,100,90,0.9,0.785714,0.409524,0.26875,0.215,0.160748,0.134375,0.134375,0.134375,0.134375,29.6666
221,1420.8,2775,10,protocol,7.5,320,328,1.025,100,90,0.9,0.767857,0.390476,0.25625,0.205,0.153271,0.128125,0.128125,0.128125,0.128125,29.1697
222,1405.95,2746,10,protocol,7.5,320,337,1.05313,100,87,0.87,0.771429,0.40119,0.263281,0.210625,0.157477,0.131641,0.131641,0.131641,0.131641,28.6828
223,1372.16,2680,10,protocol,7.5,320,338,1.05625,100,90,0.9,0.760714,0.402381,0.264062,0.21125,0.157944,0.132031,0.132031,0.132031,0.132031,28.208
224,1404.42,2743,10,protocol,7.5,320,321,1.00313,100,90,0.9,0.760714,0.382143,0.250781,0.200625,0.15,0.125391,0.125391,0.125391,0.125391,27.7385
225,1390.08,2715,10,protocol,7.5,320,340,1.0625,100,90,0.9,0.771429,0.404762,0.265625,0.2125,0.158879,0.132812,0.132812,0.132812,0.132812,27.2796
226,1391.62,2718,10,protocol,7.5,320,327,1.02188,100,90,0.9,0.746429,0.389286,0.255469,0.204375,0.152804,0.127734,0.127734,0.127734,0.127734,26.8295
227,1402.88,2740,10,protocol,7.5,320,317,0.990625,100,89,0.89,0.732143,0.377381,0.247656,0.198125,0.148131,0.123828,0.123828,0.123828,0.123828,26.3846
228,1385.98,2707,10,protocol,7.5,320,324,1.0125,100,90,0.9,0.742857,0.385714,0.253125,0.2025,0.151402,0.126562,0.126562,0.126562,0.126562,25.9499
229,1376.26,2688,10,protocol,7.5,320,349,1.09062,100,90,0.9,0.771429,0.415476,0.272656,0.218125,0.163084,0.136328,0.136328,0.136328,0.136328,25.5228
230,1356.8,2650,10,protocol,7.5,320,321,1.00313,100,90,0.9,0.732143,0.382143,0.250781,0.200625,0.15,0.125391,0.125391,0.125391,0.125391,25.1044
231,1395.2,2725,10,protocol,7.5,320,330,1.03125,100,90,0.9,0.753571,0.392857,0.257812,0.20625,0.154206,0.128906,0.128906,0.128906,0.128906,24.69
232,1401.34,2737,10,protocol,7.5,320,310,0.96875,100,89,0.89,0.75,0.369048,0.242188,0.19375,0.14486,0.121094,0.121094,0.121094,0.121094,24.2824
233,1387.52,2710,10,protocol,7.5,320,327,1.02188,100,87,0.87,0.764286,0.389286,0.255469,0.204375,0.152804,0.127734,0.127734,0.127734,0.127734,23.8828
234,1398.27,2731,10,protocol,7.5,320,310,0.96875,100,89,0.89,0.757143,0.369048,0.242188,0.19375,0.14486,0.121094,0.121094,0.121094,0.121094,23.4888
235,1375.23,2686,10,protocol,7.5,320,313,0.978125,100,88,0.88,0.725,0.372619,0.244531,0.195625,0.146262,0.122266,0.122266,0.122266,0.122266,23.1031
236,1392.13,2719,10,protocol,7.5,320,323,1.00937,100,89,0.89,0.728571,0.384524,0.252344,0.201875,0.150935,0.126172,0.126172,0.126172,0.126172,22.7223
237,1411.58,2757,10,protocol,7.5,320,334,1.04375,100,90,0.9,0.753571,0.397619,0.260937,0.20875,0.156075,0.130469,0.130469,0.130469,0.130469,22.3458
